accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
41231571,9,69,2,1,27,2,20548,16455,1
94155156,22,79,2,2,35,2,26838,18687,1
41231571,13,78,8,1,29,2,34856,24717,1
94155156,11,27,4,1,13,2,11305,10028,1
41231571,9,57,4,3,19,2,13060,12581,1
94155156,22,27,7,2,14,2,22436,15241,1
41231571,15,33,11,3,103,2,29015,31524,1
94155156,22,87,1,1,21,2,21883,12373,1
41231571,16,33,3,3,125,2,29502,31177,1
94155156,11,50,1,1,0,2,10768,7937,1
41231571,15,16,1,1,7,2,15014,10983,1
94155156,13,27,4,2,19,2,24826,16518,1
41231571,14,33,5,3,99,2,28761,28955,1
94155156,18,50,2,1,8,2,12499,8636,1
41231571,12,13,10,1,29,2,19382,16428,1
94155156,18,27,0,2,2,2,6986,6767,1
41231571,12,13,2,1,2,2,11256,9110,1
94155156,20,86,3,2,12,2,15222,10128,1
41231571,11,19,8,3,29,2,17473,15578,1
94155156,9,119,2,1,5,16,13506,10094,0
41231571,14,51,1,3,18,16,13650,11487,0
94155156,10,50,0,1,3,2,11249,7362,1
41231571,6,88,5,3,11,2,12516,9571,1
94155156,11,110,2,3,10,16,9911,8690,0
41231571,7,71,7,1,6,16,16437,11098,0
94155156,17,110,4,1,31,16,19148,17091,1
41231571,13,96,4,1,16,16,16904,13688,1
94155156,16,87,5,2,8,16,13354,10052,1
41231571,17,78,6,1,15,16,20965,14324,1
94155156,5,27,2,2,15,1,10167,7350,1
41231571,9,96,5,1,10,1,11098,9904,1
94155156,0,27,0,2,0,16,0,4020,0
41231571,0,96,0,2,0,16,0,4020,0
94155156,0,27,0,2,0,1,0,5875,0
41231571,0,96,0,2,0,1,0,5875,0
94155156,8,3,0,2,2,2,7794,6427,0
41231571,3,78,4,1,4,2,9684,8666,0
94155156,8,112,1,1,1,2,9584,10206,0
41231571,6,13,8,2,4,2,22571,19242,0
94155156,17,79,2,1,2,2,14490,11585,1
41231571,14,78,3,3,30,2,16800,12950,1
94155156,5,110,4,1,17,2,13440,11731,0
41231571,4,13,2,3,25,2,17047,15148,0
94155156,12,79,2,3,8,2,9599,8619,1
41231571,11,102,0,2,25,2,17141,11003,1
94155156,6,27,4,2,8,2,14219,12449,1
41231571,9,57,5,1,6,2,12242,13245,1
86745912,5,6,3,1,46,2,8112,8997,0
111620041,3,94,1,2,91,2,16844,13747,0
25907144,4,28,4,1,5,2,8142,6844,0
86745912,4,12,2,1,31,2,14641,13646,0
111620041,3,15,7,2,43,2,13441,13001,0
25907144,6,28,2,3,1,2,6764,6178,0
94155156,15,27,0,3,13,2,11566,9546,1
41231571,13,13,6,1,23,2,19151,16427,1
132851371,11,10,16,2,35,2,21666,22706,1
106573901,7,19,11,1,76,2,24197,21389,1
92423451,19,57,0,3,18,2,19066,14941,1
94155156,5,79,4,5,13,2,9325,8077,0
41231571,8,13,4,1,44,2,14768,12896,0
132851371,8,94,17,1,180,2,35678,41952,1
106573901,15,14,19,2,27,2,29586,27480,1
92423451,13,79,5,3,57,2,27434,21205,1
94155156,12,112,5,2,0,2,18732,15709,0
41231571,14,13,4,1,71,2,29907,26151,0
132851371,4,54,10,1,29,2,17472,20564,1
106573901,6,34,13,2,48,2,17121,18524,1
92423451,14,60,1,3,26,2,16069,12434,1
94155156,8,79,1,3,1,2,6536,4623,0
41231571,6,78,4,1,29,2,13391,10808,0
94155156,17,112,4,3,1,2,11506,9622,1
41231571,19,78,4,3,29,2,15419,11767,1
94155156,16,27,4,2,19,2,16309,12722,1
41231571,15,57,3,1,9,2,17604,16420,1
41231571,7,78,5,3,55,2,21596,19095,1
94155156,13,79,4,1,27,2,19532,13498,1
94155156,13,27,3,3,11,2,8356,6783,1
41231571,8,78,2,1,10,2,9376,8645,1
159020918,1,28,0,3,0,2,8380,6379,0
94155156,12,68,8,3,1,2,11476,9815,1
41231571,18,69,5,1,29,2,21140,18384,1
94155156,10,3,2,2,1,2,12919,8151,1
41231571,15,57,1,1,20,2,21339,14611,1
