accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
73562326,18,120,7,3,14,2,20940,15516,0
89117038,18,110,7,2,52,2,22370,17955,0
121769650,15,40,6,1,23,2,19216,19343,0
116585378,15,114,14,2,47,2,19679,16988,0
87278757,17,78,4,3,12,2,21829,13844,1
121769650,18,40,10,1,57,2,24097,26885,1
89117038,24,86,5,1,13,2,25656,17010,1
116585378,7,12,13,2,169,2,31374,31468,1
73562326,25,22,1,3,5,2,27499,20081,1
134556694,11,84,2,3,1,2,16773,14269,0
132851371,6,109,11,3,202,2,30381,35343,0
106573901,11,74,10,2,86,2,30429,25515,0
92423451,9,97,1,1,100,2,17624,15167,0
159020918,17,110,2,1,65,2,20034,16159,0
87278757,5,104,1,4,4,2,15038,10300,0
89117038,10,90,1,3,37,2,17139,16480,0
116585378,2,56,9,2,64,2,17056,16686,0
121769650,6,63,8,1,119,2,29293,20146,0
73562326,8,23,1,3,9,2,15532,13101,0
134556694,17,3,3,3,4,2,14131,10712,1
132851371,8,6,11,3,174,2,26821,25214,1
106573901,4,59,8,2,129,2,24720,23195,1
92423451,9,33,4,1,95,2,24514,22454,1
159020918,13,110,2,1,54,2,18787,16232,1
134556694,19,14,4,3,0,2,14744,10201,1
132851371,14,33,6,3,52,2,23531,25951,1
106573901,6,74,19,2,55,2,22637,21707,1
92423451,19,6,6,1,175,2,23345,18951,1
159020918,24,85,2,1,32,2,15265,10983,1
134556694,10,84,3,1,0,2,10794,9084,1
132851371,11,10,12,1,35,2,20418,19309,1
106573901,11,7,14,2,44,2,20328,16370,1
92423451,10,97,3,3,22,2,13372,11393,1
159020918,11,105,8,1,32,2,14811,13132,1
134556694,15,3,4,3,1,2,15550,10200,1
132851371,11,10,10,3,68,2,25323,22149,1
106573901,19,17,15,2,134,2,28283,23112,1
92423451,10,119,7,1,19,2,17120,14980,1
159020918,18,19,4,1,24,2,17797,11520,1
134556694,17,111,4,3,20,2,13766,9521,1
132851371,15,63,9,1,61,2,25160,17980,1
106573901,13,74,9,2,21,2,16170,14671,1
92423451,13,78,6,3,53,2,17044,15795,1
159020918,17,19,2,1,17,2,12424,9739,1
134556694,15,50,8,3,4,2,10684,10716,1
132851371,12,12,13,3,57,2,20956,21942,1
106573901,9,74,12,2,22,2,16536,16599,1
92423451,13,110,6,1,42,2,15709,16726,1
159020918,17,18,4,1,54,2,10907,11702,1
134556694,9,2,9,1,7,2,6632,7665,1
132851371,9,109,8,1,59,2,12898,14319,1
106573901,11,23,3,2,34,2,10831,10292,1
92423451,10,97,2,3,14,2,9560,8484,1
159020918,13,110,2,3,18,2,7170,6395,1
134556694,10,53,0,1,29,2,12407,12627,0
132851371,5,61,5,2,168,2,28548,23167,0
92423451,12,55,3,3,55,2,14493,14640,0
159020918,3,2,8,3,20,2,10943,11272,0
134556694,22,3,1,1,7,2,20933,14194,0
132851371,19,95,6,1,114,2,36122,33416,0
92423451,20,96,6,3,49,2,29991,27782,0
159020918,16,119,6,3,11,2,27671,18227,0
134556694,16,84,1,3,5,2,16560,11960,1
132851371,11,12,13,3,149,2,28600,28240,1
92423451,21,96,6,1,45,2,20480,16320,1
159020918,20,110,5,1,18,2,18680,14840,1
134556694,11,112,2,3,7,2,18422,14864,1
132851371,8,10,10,3,50,2,26002,25791,1
92423451,19,33,3,1,68,2,21429,20836,1
159020918,14,18,3,1,28,2,14229,11307,1
134556694,11,3,4,1,0,2,7902,6287,1
132851371,5,41,4,1,53,2,16798,14760,1
106573901,8,74,8,2,45,2,15158,14239,1
92423451,13,33,2,3,52,2,12325,11754,1
159020918,5,19,8,3,31,2,9666,8970,1
134556694,17,50,4,3,33,2,16894,17726,1
132851371,14,109,9,3,259,2,30774,43302,1
106573901,15,74,11,2,44,2,34412,29266,1
92423451,21,84,4,1,32,2,25159,22300,1
159020918,11,19,9,1,82,2,28538,21729,1
134556694,0,66,0,2,0,2,0,5120,1
132851371,0,100,0,2,0,2,0,5120,1
106573901,0,101,0,2,0,2,0,5120,1
92423451,0,75,0,2,0,2,0,5120,1
159020918,0,113,0,3,0,2,0,5120,1
134556694,13,50,2,3,3,2,13646,11102,1
132851371,7,109,9,3,128,2,24594,29259,1
106573901,9,74,9,2,14,2,20778,16846,1
92423451,15,33,1,1,112,2,19853,17964,1
159020918,10,7,4,1,23,2,10292,10562,1
134556694,35,85,3,1,53,2,27605,21588,1
132851371,17,12,24,1,279,2,43744,48415,1
106573901,18,25,14,2,180,2,49194,42894,1
92423451,25,112,4,3,17,2,37869,36311,1
159020918,27,107,4,3,12,2,29799,24278,1
134556694,17,85,2,1,7,2,8815,5833,1
132851371,3,10,12,1,10,2,11601,13342,1
106573901,18,74,2,2,1,2,11296,9185,1
92423451,9,33,4,3,45,2,9620,9686,1
159020918,8,19,5,3,10,2,7683,6573,1
134556694,12,3,1,3,7,2,14918,11603,0
132851371,5,12,8,3,219,2,34395,36881,0
106573901,10,23,5,2,103,2,34276,29955,0
92423451,7,97,3,1,141,2,33448,24745,0
159020918,8,25,4,1,40,2,18233,15451,0
134556694,13,50,1,1,4,2,6664,7067,1
132851371,10,12,5,1,31,2,13530,16573,1
106573901,4,17,16,2,54,2,16397,15190,1
92423451,11,33,0,3,47,2,12248,11091,1
159020918,12,7,1,3,6,2,9028,7545,1
134556694,15,31,3,2,4,2,13921,10741,1
132851371,10,63,9,1,58,2,27418,20175,1
106573901,7,10,12,2,91,2,25016,23037,1
92423451,19,96,3,3,27,2,18408,13426,1
